Time,SpaceGap,Latitude,Rel_vel,Rel_accel,Score,Track,ID
1628251882.661467,80.8,-2.24,0.2856,0.0,32.0,386.0,1
1628251882.661699,44.800000000000004,0.24,-1.41015,-0.5714,100.0,387.0,8
1628251882.661699,105.48,1.04,-1.9813500000000002,0.0,60.0,388.0,30
1628251882.664511,44.800000000000004,0.88,-1.4280000000000002,-0.14285,95.0,394.0,8
1628251882.709219,124.48,-1.48,0.0357,-0.14285,48.0,384.0,34
1628251882.710785,44.68,0.4,-1.4280000000000002,-0.14285,100.0,387.0,8
1628251882.710785,80.88,-2.12,0.26775000000000004,-0.2857,34.0,386.0,1
1628251882.711468,105.32000000000001,1.2,-1.9992,-0.42855,59.0,388.0,30
1628251882.714904,44.68,0.84,-1.4637,-0.42855,92.0,394.0,8
1628251882.759748,124.52,-1.44,0.0357,-0.71425,49.0,384.0,34
1628251882.760631,80.88,-2.12,0.2499,-0.14285,34.0,386.0,1
1628251882.761537,44.64,0.36,-1.4280000000000002,-0.2857,100.0,387.0,8
1628251882.761537,105.2,1.2,-1.9278000000000002,-0.42855,60.0,388.0,30
1628251882.765344,44.56,0.8,-1.4637,-0.2857,88.0,394.0,8
1628251882.809722,124.48,-1.4000000000000001,0.0,-0.14285,49.0,384.0,34
1628251882.810739,80.88,-2.16,0.2499,-0.2857,34.0,386.0,1
1628251882.810739,44.52,0.52,-1.44585,-0.2857,100.0,387.0,8
1628251882.811612,105.04,1.24,-1.9992,1.28565,60.0,388.0,30
1628251882.814784,44.480000000000004,0.92,-1.4815500000000001,-0.2857,86.0,394.0,8
1628251882.859814,124.48,-1.24,0.0,-0.71425,50.0,384.0,34
1628251882.860803,80.92,-2.2,0.2499,0.0,33.0,386.0,1
1628251882.861753,44.44,0.56,-1.4637,-0.2857,100.0,387.0,8
1628251882.861753,104.92,1.24,-1.9635000000000002,-1.28565,60.0,388.0,30
1628251882.864672,44.4,0.76,-1.4994,-0.2857,88.0,394.0,8
1628251882.909907,124.4,-1.24,0.0,-0.2857,51.0,384.0,34
1628251882.910988,44.32,0.6,-1.4637,-0.14285,100.0,387.0,8
1628251882.910988,80.96000000000001,-2.2,0.23205,-0.2857,33.0,386.0,1
1628251882.911458,104.72,1.32,-1.9635000000000002,0.5714,61.0,388.0,30
1628251882.920968,44.28,0.92,-1.4994,-0.14285,85.0,394.0,8
1628251882.961049,124.4,-1.2,-0.01785,-0.14285,51.0,384.0,34
1628251882.961247,81.0,-2.2,0.2142,-0.2857,33.0,386.0,1
1628251882.961389,44.2,0.72,-1.4637,-0.14285,100.0,387.0,8
1628251882.961484,104.60000000000001,1.4000000000000001,-2.0170500000000002,0.2857,61.0,388.0,30
1628251882.96462,44.160000000000004,1.12,-1.5351000000000001,-0.42855,81.0,394.0,8
1628251883.009245,124.4,-1.2,-0.0357,-0.2857,52.0,384.0,34
1628251883.01017,80.96000000000001,-2.08,0.2142,-0.14285,33.0,386.0,1
1628251883.010918,44.08,0.84,-1.4815500000000001,-0.14285,100.0,387.0,8
1628251883.011688,104.44,1.52,-2.05275,-1.1428,61.0,388.0,30
1628251883.014506,44.04,0.96,-1.55295,-0.42855,80.0,394.0,8
1628251883.060002,124.84,-1.28,-0.01785,-0.14285,53.0,384.0,34
1628251883.060898,80.92,-2.04,0.19635000000000002,-0.2857,32.0,386.0,1
1628251883.06178,104.32000000000001,1.6,-1.9992,-0.71425,61.0,388.0,30
1628251883.06178,43.92,0.88,-1.4994,-0.2857,100.0,387.0,8
1628251883.065235,43.92,1.0,-1.5708000000000002,-0.42855,78.0,394.0,8
1628251883.109485,124.84,-1.28,-0.1071,0.14285,53.0,384.0,34
1628251883.112673,43.800000000000004,0.88,-1.5172500000000002,-0.2857,100.0,387.0,8
1628251883.112673,80.96000000000001,-1.96,0.17850000000000002,-0.14285,32.0,386.0,1
1628251883.11289,104.16,1.6400000000000001,-2.0349,0.8571,61.0,388.0,30
1628251883.114298,43.800000000000004,0.84,-1.5708000000000002,-0.14285,77.0,394.0,8
1628251883.159562,124.76,-1.56,-0.01785,-1.85705,54.0,384.0,34
1628251883.160399,80.96000000000001,-1.96,0.17850000000000002,-0.2857,32.0,386.0,1
1628251883.161255,43.72,0.92,-1.5172500000000002,-0.2857,100.0,387.0,8
1628251883.162022,104.04,1.72,-2.0706,-0.71425,61.0,388.0,30
1628251883.164637,43.72,0.72,-1.55295,0.42855,80.0,394.0,8
1628251883.209166,124.72,-1.56,-0.05355,1.9999,54.0,384.0,34
1628251883.210689,81.0,-1.96,0.16065000000000002,-0.2857,32.0,386.0,1
1628251883.210689,43.64,1.0,-1.5351000000000001,-0.14285,100.0,387.0,8
1628251883.211713,103.88,1.76,-2.0349,-0.5714,61.0,388.0,30
1628251883.214547,43.6,0.76,-1.5708000000000002,-0.14285,83.0,394.0,8
1628251883.259741,124.8,-1.8,-0.01785,-0.8571,55.0,384.0,34
1628251883.260966,81.0,-1.8800000000000001,0.1428,-0.2857,32.0,386.0,1
1628251883.26178,43.52,0.84,-1.55295,-0.2857,100.0,387.0,8
1628251883.26178,103.72,1.84,-2.05275,0.71425,61.0,388.0,30
1628251883.264711,43.480000000000004,0.96,-1.5886500000000001,-0.42855,81.0,394.0,8
1628251883.309177,124.8,-1.8,0.0,0.8571,55.0,384.0,34
1628251883.310159,81.0,-1.84,0.12495,-0.2857,32.0,386.0,1
1628251883.310916,43.4,0.72,-1.5708000000000002,-0.42855,100.0,387.0,8
1628251883.311717,103.60000000000001,1.92,-2.0884500000000004,-0.2857,59.0,388.0,30
1628251883.314296,43.4,0.92,-1.6065,-0.2857,80.0,394.0,8
1628251883.360424,124.8,-1.8,-0.01785,0.14285,55.0,384.0,34
1628251883.360563,81.0,-1.72,0.1071,-0.2857,31.0,386.0,1
1628251883.361512,103.44,1.8800000000000001,-2.05275,-0.8571,58.0,388.0,30
1628251883.361512,43.28,0.76,-1.5886500000000001,-0.2857,100.0,387.0,8
1628251883.364425,43.28,0.92,-1.6065,-0.2857,78.0,394.0,8
1628251883.409168,124.8,-1.8,-0.01785,-0.14285,55.0,384.0,34
1628251883.410139,81.0,-1.6400000000000001,0.08925000000000001,-0.42855,34.0,386.0,1
1628251883.41092,43.2,0.8,-1.6065,-0.2857,100.0,387.0,8
1628251883.41169,103.32000000000001,1.96,-2.0706,0.8571,57.0,388.0,30
1628251883.414194,43.160000000000004,0.56,-1.6243500000000002,-0.2857,81.0,394.0,8
1628251883.460218,124.8,-1.8,-0.0357,-0.14285,55.0,384.0,34
1628251883.460621,81.04,-1.56,0.0714,-0.2857,36.0,386.0,1
1628251883.461417,43.08,0.8,-1.6243500000000002,-0.2857,100.0,387.0,8
1628251883.461417,103.16,2.08,-2.1063,-0.5714,56.0,388.0,30
1628251883.464964,43.04,0.44,-1.6422,-0.14285,84.0,394.0,8
1628251883.509779,124.8,-1.8,-0.0357,-0.14285,56.0,384.0,34
1628251883.509779,46.160000000000004,2.16,-1.5708000000000002,-0.14285,174.0,385.0,37
1628251883.510625,80.8,-1.6,0.01785,-0.5714,38.0,386.0,1
1628251883.510625,42.92,1.04,-1.6422,-0.42855,100.0,387.0,8
1628251883.511532,103.0,2.2,-2.0884500000000004,-0.5714,55.0,388.0,30
1628251883.513251,46.160000000000004,2.16,-1.5708000000000002,-0.8571,16.0,392.0,37
1628251883.514188,42.92,0.44,-1.6422,-0.2857,87.0,394.0,8
1628251883.560048,124.8,-1.8,-0.0357,-0.14285,56.0,384.0,34
1628251883.560515,46.08,2.24,-1.5886500000000001,-0.14285,174.0,385.0,37
1628251883.560691,80.88,-1.68,0.0,-0.99995,39.0,386.0,1
1628251883.561684,42.84,1.16,-1.6422,-0.2857,100.0,387.0,8
1628251883.561684,102.84,2.2800000000000002,-2.1063,0.42855,54.0,388.0,30
1628251883.564243,46.08,2.24,-1.5886500000000001,-0.14285,14.0,392.0,37
1628251883.610028,45.96,2.36,-1.6422,-0.14285,174.0,385.0,37
1628251883.610183,81.0,-1.6400000000000001,0.0,-0.2857,41.0,386.0,1
1628251883.610473,42.72,1.24,-1.66005,-0.2857,100.0,387.0,8
1628251883.611507,102.68,2.32,-2.1420000000000003,-0.42855,53.0,388.0,30
1628251883.613452,45.96,2.36,-1.6422,-1.1428,12.0,392.0,37
1628251883.614553,42.72,0.76,-1.66005,0.14285,90.0,394.0,8
1628251883.660276,45.84,2.4,-1.6422,-0.14285,174.0,385.0,37
1628251883.660397,81.0,-1.6,0.0,-0.14285,43.0,386.0,1
1628251883.661411,102.56,2.2800000000000002,-2.0349,-0.8571,52.0,388.0,30
1628251883.661411,42.64,1.24,-1.6779000000000002,-0.14285,100.0,387.0,8
1628251883.664198,45.84,2.4,-1.6422,-0.14285,10.0,392.0,37
1628251883.664436,42.56,1.2,-1.6779000000000002,-0.2857,86.0,394.0,8
1628251883.718031,81.04,-1.52,-0.01785,-0.2857,44.0,386.0,1
1628251883.718031,45.56,2.64,-1.7671500000000002,-0.14285,174.0,385.0,37
1628251883.718031,42.56,1.2,-1.7136,-0.42855,100.0,387.0,8
1628251883.718186,102.44,2.32,-2.05275,2.2856,51.0,388.0,30
